count,trial,enabled,rendered,mountSyncMs,mountSettledMs,resizeElapsedMs,resizeP95Ms,resizeLongTotalMs,resizeLongMaxMs,fontElapsedMs,fontP95Ms,fontLongTotalMs,fontLongMaxMs,scrollElapsedMs,scrollP95Ms,scrollLongTotalMs,scrollLongMaxMs
100,1,false,100,97.2,366.7,5233.2,233.3,4976,2797,2592,333.3,2511,345,458.3,16.9,0,0
100,1,true,100,179.7,349.8,3049.9,133.4,2434,174,2450.3,300,2343,333,466,17.5,0,0
100,2,true,100,178.5,357.3,2491.6,149.9,1531,200,2483.1,650.1,2350,758,516.4,17.7,72,72
100,2,false,100,56,199.9,1908.6,133.3,790,346,1611.8,267.5,1521,223,462.7,17.6,0,0
100,3,false,100,71.5,266.5,2432.2,116.8,1949,124,3450.2,666.7,3385,706,599.8,17.7,151,151
100,3,true,100,188.7,366.9,3583.5,316.7,3123,355,2499.7,300.1,2382,335,633.2,33.3,172,172
100,4,true,100,154.5,351.5,14326.3,1917.1,13650,2058,10040.5,1699,9678,1507,713.6,17.5,267,267
100,4,false,100,154.8,841.9,3104,216.6,2486,207,2033.2,300,1956,294,566.7,17,124,124
100,5,false,100,71.4,283.7,2316.2,133.3,1215,442,2036,282.6,2080,281,563.4,17.5,129,129
100,5,true,100,166.7,332.3,5118.4,417.2,4230,525,2004.5,366.7,1871,324,560,16.8,125,125
1000,1,false,1000,1092.2,3551.5,21413.2,1016.3,21322,1053,19763.8,2349.8,19645,2475,866.9,49.9,157,104
1000,1,true,1000,2011.2,2498.2,25034.2,1200,24606,1577,21127.6,2533.3,20944,2753,2198.4,66.7,1397,1278
1000,2,true,1000,2282.1,2786.2,29779.5,1366.4,29252,1825,22899.8,2700,22698,2825,2278.5,66.8,1432,1363
1000,2,false,1000,1220.2,2917,27229.7,1483.5,27096,1939,21063.9,2733.3,20945,2654,1065.3,84.1,371,95
1000,3,false,1000,2781.3,8516.6,41078.6,3351,40861,5539,20787.7,2650.7,20660,2454,1131.8,83.4,382,256
1000,3,true,1000,2050.8,2578.7,28185,1283.3,27606,2118,20581.5,2766,20280,3388,1030.6,66.7,247,78
1000,4,true,1000,2065.9,2593.6,29850.1,1349.9,29319,2160,24535.7,3132.9,24194,3256,2102.3,83.3,1278,1092
1000,4,false,1000,1357.7,2597.5,25705.9,1117.3,25630,2074,19779.2,2666.7,19674,2355,969.8,50.1,59,59
1000,5,false,1000,990.8,2352.6,24096.7,1250,23937,1596,19345.2,2400,19209,2413,882.4,50.1,54,54
1000,5,true,1000,2303.7,2834.3,28177,1517.6,27669,1786,18932.4,2401,18704,2542,1035.9,50.9,144,82
