count,trial,enabled,rendered,mountSyncMs,mountSettledMs,resizeElapsedMs,resizeP95Ms,resizeLongTotalMs,resizeLongMaxMs,fontElapsedMs,fontP95Ms,fontLongTotalMs,fontLongMaxMs,scrollElapsedMs,scrollP95Ms,scrollLongTotalMs,scrollLongMaxMs
100,1,false,100,144.2,377.1,2537.8,99.6,2452,115,2614.8,534.3,2530,540,539.6,33.3,57,57
100,1,true,100,237.3,350.8,6282,299.9,5521,691,2603.7,250.1,2153,215,462.8,17.7,0,0
100,2,true,100,185.7,333.7,4716.6,166.6,3859,131,2166.3,216.7,1635,175,465.9,16.7,0,0
100,2,false,100,78.3,250.1,1900.6,82.4,801,87,1448.7,150,1382,144,466.5,17.7,0,0
100,3,false,100,72.4,253.3,2045.9,83.3,1286,98,1465.7,233.2,1374,237,466.7,17.2,0,0
100,3,true,100,172.2,283.4,4435.1,166.7,3263,104,1965,200,1517,150,465.6,16.9,0,0
100,4,true,100,172.2,267.1,4615.4,151,3863,127,2200,216.7,1662,179,466.7,17.7,0,0
100,4,false,100,63.8,400.1,3005.2,317.5,2219,415,4348.6,2066.8,4244,2052,462,17.7,0,0
100,5,false,100,146.7,332.3,3699.1,365.8,2600,1247,1600.8,183.2,1532,193,466,17.6,0,0
100,5,true,100,493.6,582.5,5820.6,516.7,5277,684,2648.5,250,2248,235,463.9,17.5,0,0
1000,1,false,1000,1474.5,3019.1,12728.5,466.7,12628,522,42949.3,30232.1,13476,1660,1029.7,66.6,124,64
1000,1,true,1000,2342,2989.1,27076.2,1200.8,26533,933,15091.6,1816.6,14913,1257,1049.9,66.9,138,77
1000,2,true,1000,1963.8,2570.4,26524.3,1433.3,25955,1012,13963.7,1883.3,13727,1276,1171.1,66.6,155,86
1000,2,false,1000,1127.5,2366.5,11878.6,450,11739,585,12168.7,1233.3,12039,1259,1066.4,67.6,134,69
1000,3,false,1000,951.8,2533.2,12413,583.9,12291,816,12531.5,1483.3,12411,1506,799.6,49.3,69,69
1000,3,true,1000,1432.2,1868,27789.3,1316.7,27152,1256,17020.2,2416.7,16826,2039,1284.7,83.3,533,76
1000,4,true,1000,1920.7,2481.6,26004.5,1283.3,25419,884,16990.3,2015.7,16800,1617,1333.6,83.4,558,98
1000,4,false,1000,1021.2,2166.7,12777.8,516.7,12612,530,12469.2,1216.7,12349,1219,1094.8,67.1,240,81
1000,5,false,1000,1142.1,2918.1,10196.9,383.2,10072,415,12665.7,1283.3,12541,1287,983,51,65,65
1000,5,true,1000,2226.9,2772.5,26013.1,1416.5,25601,1373,16343.4,2066.7,16093,1725,1101.3,83.2,212,86
